Gene,BreastEarly_1,BreastEarly_2,BreastEarly_3,BreastMid_1,BreastMid_2,BreastMid_3,BreastLate_1,BreastLate_2,BreastLate_3,LungMetastasis_1,LungMetastasis_2,LungMetastasis_3
Yeats2,48,58,47,4,2,4,34,31,26,73,42,46
Yeats4,7,9,10,0,1,0,10,7,16,8,5,2
Yes1,10,23,15,9,10,2,3,18,6,10,6,9
Yif1a,7,8,5,10,5,1,9,8,4,5,4,3
Yif1b,4,3,4,7,3,2,4,3,2,7,5,3
Yipf1,9,5,4,1,0,0,12,1,2,6,8,8
Yipf2,13,7,13,1,1,1,12,9,6,8,4,10
Yipf3,20,24,22,10,5,5,24,23,32,27,15,12
Yipf4,11,15,13,4,3,4,10,18,14,4,3,1
Yipf5,14,21,5,0,0,0,9,6,4,7,9,4
Yipf6,29,42,29,7,5,5,22,15,19,22,11,13
Yjefn3,1,1,0,0,0,0,0,0,0,3,0,0
Yju2,5,9,13,0,0,0,4,5,6,23,9,9
Yju2b,4,2,1,0,0,0,1,4,3,13,10,5
Ykt6,28,23,25,2,2,2,24,13,28,24,15,17
Ylpm1,87,109,79,15,11,5,60,62,53,129,62,68
Yme1l1,56,63,52,4,2,2,28,39,30,38,31,25
Yod1,10,17,14,5,3,4,2,13,7,6,4,6
Ypel1,5,6,2,4,5,3,3,1,3,0,3,1
Ypel2,13,10,8,0,0,0,2,4,11,12,9,5
Ypel3,12,12,13,0,0,1,26,21,19,57,28,30
Ypel4,0,0,1,0,0,0,3,0,1,2,3,2
Ypel5,10,33,23,4,3,5,15,6,10,12,8,6
Yrdc,8,8,5,9,3,3,5,8,7,1,2,4
Ythdc1,37,72,44,5,5,1,42,45,27,70,24,33
Ythdc2,8,12,9,2,0,0,11,12,8,15,9,9
Ythdf1,18,23,13,2,5,5,16,18,18,18,3,5
Ythdf2,19,20,15,7,7,4,24,35,16,27,8,9
Ythdf3,45,63,43,1,0,1,21,43,27,36,19,20
Ywhab,68,78,60,42,37,30,40,61,65,21,19,6
Ywhae,154,152,146,115,108,84,147,179,133,67,30,33
Ywhag,80,94,72,93,75,72,156,154,119,51,26,25
Ywhah,24,32,33,1,1,1,34,30,31,16,8,8
